filename	rising_voltage	stopping_voltage	v_rise	v_rise_unc	v_fall	v_fall_unc	r_squared_rise	r_squared_fall	reduced_chi_squared_rise	reduced_chi_squared_fall	rise_intercept	rise_intercept_unc	fall_intercept	fall_intercept_unc
371.1_493.7.tsv	493.7.tsv	371.1	-1.4716133736405675e-05	2.3182422943040368e-07	4.806070821608055e-05	5.274553014270422e-07	0.9821301954963015	0.9957074611509183	128.90744523475465	89.96625198804969	0.0005512268919548709	2.495530613210173e-06	-0.0003616236285768435	8.723818618456804e-06
481.8_553.0.tsv	553.0.tsv	481.8	-1.5672949493479838e-05	2.650480292395914e-07	0.00012171799290454919	3.790994720528983e-07	0.9794788417360925	0.9996307696423659	17.05650385610076	4.6790595528836345	0.001437298852600631	3.992812605216054e-06	-0.0011422752855114382	7.805263677748381e-06
270.9_384.8.tsv	384.8.tsv	270.9	-1.785397003625719e-05	1.7734948766689604e-07	3.2553393935595324e-05	3.457947834791489e-07	0.9953466537479702	0.9947240618643854	23.942694696309676	49.97584708728971	0.0006083233073315938	2.14311723542554e-06	-0.00013789336639359365	5.810903341495445e-06
432.4_581.9.tsv	581.9.tsv	432.4	-2.6522235352406087e-05	1.806203006896771e-07	5.251843001560953e-05	5.248217453080435e-07	0.9969537597426309	0.9954215250664515	5.548338929541269	14.01468885955185	0.001487114863743614	1.2206966123980475e-06	0.0007090946899363162	6.472326632987412e-06
201.0_301.9.tsv	301.9.tsv	201.0	-9.96295964019287e-06	3.549977209434418e-07	3.345173060281434e-05	2.403158561071407e-07	0.9138536606212486	0.9968501342008786	541.1076914365108	85.40743516826188	0.00044073968994163756	3.5049087863334714e-06	-0.00016584913921013767	4.009469942456732e-06
218.8_240.3.tsv	240.3.tsv	218.8	-9.175558273780714e-06	1.636350470772513e-07	0.0001328117985737178	2.98666996436129e-07	0.9718203554931522	0.9998528518721258	43.146785473153145	3.503089509805009	0.000752418861033074	1.373958857666906e-06	-0.0010606858146282058	4.204718840264771e-06
201.3_402.9.tsv	402.9.tsv	201.3	-3.043145250946141e-05	2.5779529154194657e-07	3.3113697919278725e-05	6.615525362281022e-07	0.994693621359314	0.9812773350348234	35.1200783163088	57.221508522864426	0.0013127843991258693	3.464112800714082e-06	0.00022444361659277513	1.2869500613226949e-05
400.7_427.7.tsv	427.7.tsv	400.7	-3.986900512740821e-06	6.988427597563366e-08	0.0001046439504477895	2.2711844467536775e-07	0.9346448617123726	0.9997989405369062	38.93880192985892	2.078418550934722	0.0011694966545782329	1.1651011222842976e-06	-0.0017336104166999341	6.526976650494017e-06
72.2_171.2.tsv	171.2.tsv	72.2	-2.4589160867084642e-05	1.4657857982222257e-07	2.9062353292130638e-05	3.0735210076747686e-07	0.9973594075243514	0.9939651527858873	45.81053081552262	89.51377069644253	0.000586697915567786	1.222021559543168e-06	-1.8659399814117735e-05	4.2334297523630725e-06
396.0_522.9.tsv	522.9.tsv	396.0	-1.3309649592096514e-05	4.781135356795458e-07	5.574232654494502e-05	4.982381643388011e-07	0.9673496106699012	0.9962158276311889	5.376960075467388	27.771134311232196	0.0009970412658002726	2.879908985627676e-06	0.0002508561092632923	6.99746799148692e-06
212.8_262.4.tsv	262.4.tsv	212.8	-1.0936882501074469e-05	6.165644327452196e-07	5.373025188833406e-05	2.6991976345341595e-07	0.857539785661779	0.9991692249222281	159.76886437316514	6.9656285991244875	0.0006960690240121219	5.116767325976903e-06	-0.00015847419142738423	4.1059068963473966e-06
307.6_382.7.tsv	382.7.tsv	307.6	-2.097056591641621e-05	4.054452328214617e-07	4.400176045980772e-05	9.650684338233086e-08	0.9898299434876623	0.9994092335292353	555.1800353487585	169.053892589259	0.00026789221993956514	3.4121415007792645e-06	-0.00043316462167258276	1.594328423283656e-06
101.4_187.5.tsv	187.5.tsv	101.4	-2.7568038809543782e-05	2.8679249007542513e-07	2.334149250910009e-05	2.7469269325442107e-07	0.9945154866836571	0.9856152003810275	271.5735140745189	943.5479125690092	0.00028764983835404494	1.1318628056897808e-06	-8.368207036556443e-06	2.552985035603854e-06
92.1_246.1.tsv	246.1.tsv	92.1	-2.5344732837197295e-05	1.430201717981398e-07	2.955018588787926e-05	4.305028940768428e-07	0.9971183526260838	0.9892583485149883	39.37327820543737	62.18338466871519	0.0008162982046055099	1.3520714074544119e-06	0.00010091585018284827	6.69621842434821e-06
126.1_202.7.tsv	202.7.tsv	126.1	-1.4909152119676108e-05	4.160045842186768e-07	2.7873023891820968e-05	3.111952206706381e-07	0.9634124032798039	0.9941369713751104	118.01161466940462	45.141571062350884	0.0008061068145200742	1.01111861145703e-05	-0.00037453156455978395	9.289562915848141e-06
82.2_173.1.tsv	173.1.tsv	82.2	-1.9561818433913016e-05	3.1569330000367707e-07	2.4021517386283077e-05	2.0060602321633449e-07	0.9806138623108992	0.9959761127566576	446.4149515973888	128.91004043715787	0.0005296176088629201	3.3366251059810643e-06	-8.488085972540683e-05	3.4570949736778116e-06
245.5_294.4.tsv	294.4.tsv	245.5	-1.62153506896116e-05	4.5156458825416253e-07	4.088621108176762e-05	2.5436466363898364e-07	0.9598477798102449	0.9982395986596541	760.358654525927	99.34123993178295	0.00029989751569088	1.8096399745546808e-06	-6.943016971410418e-05	2.2491728304891873e-06
